country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Finland,FIN,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.06935866983372921,0.0,0.3,True
France,FRA,vivienda_y_urbanismo,affordability_ratio_inverted,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,5.638896945282581,89.2938,0.1,False
France,FRA,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.9259890859481583,42.9965,0.2,False
France,FRA,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,7.505000000000001,75.05,0.3,True
France,FRA,vivienda_y_urbanismo,construction_index,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,77.29648824389523,0.121,0.05,False
France,FRA,vivienda_y_urbanismo,mortgage_rate_inverted,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,5.0048456572956,8.8102,0.05,False
France,FRA,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.03192354615697438,57.3869,0.3,True
French Guiana,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.82787948680986,45.0567,0.2,False
French Guiana,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.02529912065734467,68.2558,0.3,True
French Polynesia,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.9917659243915071,83.613,0.2,False
French Polynesia,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.022941481097876748,72.124,0.3,True
Gabon,GAB,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.8015837442103689,87.6066,0.2,False
Gabon,GAB,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01621096668160765,83.167,0.3,True
Gambia,GMB,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.20934871684278628,100.0,0.2,False
Gambia,GMB,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.0036122492991158073,100.0,0.3,True
Georgia,GEO,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,2.1156409847220217,60.0129,0.2,False
Georgia,GEO,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.04516872495376079,35.6551,0.3,True
Germany,DEU,vivienda_y_urbanismo,affordability_ratio_inverted,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,4.559648880637612,100.0,0.1,False
Germany,DEU,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,3.5861481251936778,29.1339,0.2,False
Germany,DEU,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,6.3950000000000005,63.95,0.3,True
Germany,DEU,vivienda_y_urbanismo,construction_index,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,107.87774166244526,51.5044,0.05,False
Germany,DEU,vivienda_y_urbanismo,mortgage_rate_inverted,global-housing-market-analysis-2015-2024/global_housing_market_extended.csv,4.558603731171761,29.4026,0.05,False
Germany,DEU,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.024689558567426367,69.2559,0.3,True
Ghana,GHA,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.6310208388955412,91.1883,0.2,False
Ghana,GHA,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.0212578757635078,74.8864,0.3,True
Gibraltar,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.1694277108433735,79.8823,0.2,False
Gibraltar,,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,1.112,11.12,0.3,True
Gibraltar,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.029367469879518073,61.5807,0.3,True
Greece,GRC,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,3.1779230041947413,37.7062,0.2,False
